LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loc37efd432abe4,"[(211011260, 6.199193965684551e-05), (211011254, 0.0013665033329884973)]",Wantirna South,"[211011254, 0.9566033288006291]",211011254,"[[211011260, 0.043396671199370816], [211011254, 0.9566033288006291]]"
loc38cbe92d1159,"[(211031450, 9.095559969125233e-05), (211051277, 0.0008432712999697598)]",Kilsyth,"[211051277, 0.9026407827431902]",211051277,"[[211031450, 0.0973592172568098], [211051277, 0.9026407827431902]]"
loc46f8f01fbac9,"[(211031267, 0.0004757444359671006), (211031452, 7.00020506728134e-06)]",Ringwood East,"[211031267, 0.9854991553043821]",211031267,"[[211031267, 0.9854991553043821], [211031452, 0.014500844695617807]]"
loc4858bcc1d912,"[(210031535, 0.0006290696089301251), (210031536, 0.00025992227424923904)]",Glenroy,"[210031535, 0.7076213189712591]",210031535,"[[210031535, 0.7076213189712591], [210031536, 0.292378681028741]]"
loc49db457e2be8,"[(211021261, 0.0011065270082423753), (211021262, 8.343221632511658e-05)]",Donvale,"[211021261, 0.9298864914002064]",211021261,"[[211021261, 0.9298864914002064], [211021262, 0.07011350859979362]]"
loc49fb687cbcb9,"[(209041220, 0.0008058708910159185), (209041221, 0.0005028691672284113)]",Mill Park,"[209041220, 0.6157608502462983]",209041220,"[[209041220, 0.6157608502462983], [209041221, 0.3842391497537017]]"
loc4add9dd25668,"[(207011155, 2.8384548677239166e-06), (207031167, 0.000269086473541123), (207011149, 0.00017371291365673644)]",Surrey Hills,"[207031167, 0.6038232127996039]",207031167,"[[207011155, 0.006369420636648242], [207031167, 0.6038232127996039], [207011149, 0.38980736656374787]]"
loc4df40037d8c0,"[(212021553, 0.002004933951901182), (212021293, 0.0009541587070445004), (212021554, 0.0004482937403170372)]",Berwick,"[212021553, 0.5884081571538244]",212021553,"[[212021553, 0.5884081571538244], [212021293, 0.2800265644222089], [212021554, 0.13156527842396676]]"
loc4dfb8458b2e2,"[(210031440, 0.00030951165551815505), (210031535, 7.0198435052913e-06), (210031538, 5.326764096975264e-06)]",Hadfield,"[210031440, 0.9616396127830742]",210031440,"[[210031440, 0.9616396127830742], [210031535, 0.021810356637215998], [210031538, 0.01655003057970981]]"
loc517609e09c88,"[(212031303, 0.003998370447891603), (212031558, 5.741725168406369e-05), (212031557, 8.198578252349287e-05)]",Clyde,"[212031303, 0.9663096506344192]",212031303,"[[212031303, 0.9663096506344192], [212031558, 0.013876364168425909], [212031557, 0.019813985197154906]]"
loc517fb29cebaa,"[(206061135, 0.0002151335116678507), (206061136, 5.113137298989449e-06)]",Armadale,"[206061135, 0.9767844944612107]",206061135,"[[206061135, 0.9767844944612107], [206061136, 0.023215505538789247]]"
loc51ba976fe589,"[(210031537, 0.00019036193213822913), (210031538, 1.6471181078739777e-05)]",Oak Park,"[210031537, 0.9203648737740487]",210031537,"[[210031537, 0.9203648737740487], [210031538, 0.0796351262259512]]"
